spawn qemu-system-riscv64 -semihosting -M virt,aclint=on -cpu rv64 -smp 8 -bios none -kernel nuttx -nographic
ABC[    0.000000] mm_initialize: Heap: name=Kmem, start=0x80206c00 size=2069504
[    0.178000] mm_malloc: Allocated 0xc0202990, size 32
[    0.178000] mm_malloc: Allocated 0xc02029b0, size 32
[    0.178000] mm_malloc: Allocated 0xc02029d0, size 32
[    0.179000] mm_malloc: Allocated 0xc02029f0, size 32
[    0.179000] mm_malloc: Allocated 0xc0202a10, size 48
[    0.181000] mm_malloc: Allocated 0xc0202a40, size 32
[    0.181000] mm_malloc: Allocated 0xc0202a60, size 32
[    0.181000] mm_malloc: Allocated 0xc0202a80, size 32
[    0.182000] mm_malloc: Allocated 0xc0202aa0, size 48
[    0.182000] mm_malloc: Allocated 0xc0202ad0, size 48
[    0.183000] mm_malloc: Allocated 0xc0202b00, size 48
[    0.183000] mm_malloc: Allocated 0xc0202b30, size 32
[    0.184000] mm_malloc: Allocated 0xc0202b50, size 48
[    0.184000] mm_malloc: Allocated 0xc0202b80, size 48
[    0.185000] mm_malloc: Allocated 0xc0202bb0, size 48
[    0.185000] mm_malloc: Allocated 0xc0202be0, size 48
[    0.186000] mm_malloc: Allocated 0xc0202c10, size 48
[    0.186000] mm_malloc: Allocated 0xc0202c40, size 48
[    0.186000] mm_malloc: Allocated 0xc0202c70, size 48
[    0.187000] mm_malloc: Allocated 0xc0202ca0, size 48
[    0.187000] mm_malloc: Allocated 0xc0202cd0, size 48
[    0.188000] mm_malloc: Allocated 0xc0202d00, size 48
[    0.188000] mm_malloc: Allocated 0xc0202d30, size 48
[    0.189000] mm_malloc: Allocated 0xc0202d60, size 48
[    0.189000] mm_malloc: Allocated 0xc0202d90, size 48
[    0.190000] mm_malloc: Allocated 0xc0202dc0, size 48
[    0.190000] mm_malloc: Allocated 0xc0202df0, size 32
[    0.190000] mm_malloc: Allocated 0xc0202e10, size 48
[    0.191000] mm_malloc: Allocated 0xc0202e40, size 48
[    0.191000] mm_malloc: Allocated 0xc0202e70, size 48
[    0.192000] mm_malloc: Allocated 0xc0202ea0, size 48
[    0.192000] mm_malloc: Allocated 0xc0202ed0, size 48
[    0.192000] mm_malloc: Allocated 0xc0202f00, size 32
[    0.193000] mm_malloc: Allocated 0xc0202f20, size 32
[    0.193000] mm_malloc: Allocated 0xc0202f40, size 32
[    0.194000] mm_malloc: Allocated 0xc0202f60, size 32
[    0.194000] mm_malloc: Allocated 0xc0202f80, size 48
[    0.194000] mm_malloc: Allocated 0xc0202fb0, size 48
[    0.195000] mm_malloc: Allocated 0xc0202fe0, size 48
[    0.195000] mm_malloc: Allocated 0xc0203010, size 48
[    0.196000] mm_malloc: Allocated 0xc0203040, size 48
[    0.196000] mm_malloc: Allocated 0xc0203070, size 48
[    0.197000] mm_malloc: Allocated 0xc02030a0, size 32
[    0.197000] mm_malloc: Allocated 0xc02030c0, size 32
[    0.198000] mm_malloc: Allocated 0xc02030e0, size 48
[    0.198000] mm_malloc: Allocated 0xc0203110, size 48
[    0.199000] mm_malloc: Allocated 0xc0203140, size 48
[    0.200000] mm_malloc: Allocated 0xc0203170, size 48
[    0.200000] mm_malloc: Allocated 0xc02031a0, size 48
[    0.201000] mm_malloc: Allocated 0xc02031d0, size 48
[    0.202000] mm_malloc: Allocated 0xc0203200, size 48
[    0.202000] mm_malloc: Allocated 0xc0203230, size 48
[    0.203000] mm_malloc: Allocated 0xc0203260, size 48
[    0.203000] mm_malloc: Allocated 0xc0203290, size 48
[    0.205000] mm_malloc: Allocated 0xc02032c0, size 48
[    0.205000] mm_malloc: Allocated 0xc02032f0, size 48
[    0.205000] mm_malloc: Allocated 0xc0203320, size 48
[    0.206000] mm_malloc: Allocated 0xc0203350, size 48
[    0.207000] mm_malloc: Allocated 0xc0203380, size 2544
[    0.207000] mm_free: Freeing 0xc0200cd0
[    0.208000] mm_malloc: Allocated 0xc0200cd0, size 32
[    0.209000] mm_malloc: Allocated 0xc0200cf0, size 48
[    0.209000] mm_malloc: Allocated 0xc0200d20, size 48
[    0.209000] mm_malloc: Allocated 0xc0200d50, size 48
[    0.210000] mm_malloc: Allocated 0xc0200d80, size 48
[    0.210000] mm_malloc: Allocated 0xc0200db0, size 48
[    0.211000] mm_malloc: Allocated 0xc0200de0, size 48
[    0.211000] mm_malloc: Allocated 0xc0200e10, size 48
[    0.212000] mm_malloc: Allocated 0xc0200e40, size 48
[    0.212000] mm_malloc: Allocated 0xc0200e70, size 64
[    0.213000] mm_malloc: Allocated 0xc0200eb0, size 48
[    0.213000] mm_malloc: Allocated 0xc0200ee0, size 48
[    0.214000] mm_malloc: Allocated 0xc0200f10, size 48
[    0.214000] mm_malloc: Allocated 0xc0200f40, size 48
[    0.214000] mm_malloc: Allocated 0xc0200f70, size 48
[    0.216000] mm_malloc: Allocated 0xc0203d70, size 2336
[    0.216000] mm_malloc: Allocated 0xc0200fa0, size 144
[    0.217000] mm_malloc: Allocated 0xc0201030, size 96
[    0.218000] mm_malloc: Allocated 0xc0201090, size 480
[    0.219000] mm_malloc: Allocated 0xc0204690, size 944
[    0.220000] mm_malloc: Allocated 0xc0201270, size 112
[    0.220000] mm_malloc: Allocated 0xc02012e0, size 80
[    0.221000] mm_malloc: Allocated 0xc0201330, size 48
[    0.221000] mm_malloc: Allocated 0xc0204a40, size 112
[    0.222000] mm_malloc: Allocated 0xc0204ab0, size 80
[    0.222000] mm_malloc: Allocated 0xc0204b00, size 48
[    0.224000] mm_malloc: Allocated 0xc0204b30, size 112
[    0.225000] mm_malloc: Allocated 0xc0204ba0, size 80
[    0.225000] mm_malloc: Allocated 0xc0204bf0, size 48
[    0.227000] mm_malloc: Allocated 0xc0204c30, size 112
[    0.227000] mm_free: Freeing 0xc0204b30
[    0.229000] mm_malloc: Allocated 0xc0204b30, size 112
[    0.229000] mm_malloc: Allocated 0xc0204ca0, size 80
[    0.230000] mm_malloc: Allocated 0xc0204cf0, size 48
[    0.230000] mm_malloc: Allocated 0xc0204d20, size 112
[    0.231000] mm_malloc: Allocated 0xc0204d90, size 80
[    0.231000] mm_malloc: Allocated 0xc0204de0, size 48
[    0.232000] mm_free: Freeing 0xc0204d20
[    0.233000] mm_malloc: Allocated 0xc0204d20, size 112
[    0.233000] mm_malloc: Allocated 0xc0204e10, size 80
[    0.234000] mm_malloc: Allocated 0xc0204e60, size 48
[    0.234000] mm_free: Freeing 0xc0204d20
[    0.234000] mm_malloc: Allocated 0xc0204d20, size 112
[    0.235000] mm_malloc: Allocated 0xc0204e90, size 80
[    0.235000] mm_malloc: Allocated 0xc0204ee0, size 48
[    0.236000] mm_free: Freeing 0xc0204d20
[    0.236000] mm_malloc: Allocated 0xc0204d20, size 112
[    0.236000] mm_malloc: Allocated 0xc0204f10, size 80
[    0.237000] mm_malloc: Allocated 0xc0204f60, size 48
[    0.237000] mm_free: Freeing 0xc0204d20
[    0.238000] mm_malloc: Allocated 0xc0204d20, size 112
[    0.239000] mm_malloc: Allocated 0xc0204f90, size 80
[    0.239000] mm_malloc: Allocated 0xc0204fe0, size 48
[    0.240000] mm_free: Freeing 0xc0204d20
[    0.240000] mm_malloc: Allocated 0xc0204d20, size 112
[    0.241000] mm_malloc: Allocated 0xc0205010, size 80
[    0.241000] mm_malloc: Allocated 0xc0205060, size 48
[    0.242000] mm_free: Freeing 0xc0204d20
[    0.242000] mm_malloc: Allocated 0xc0204d20, size 112
[    0.242000] mm_malloc: Allocated 0xc0205090, size 80
[    0.243000] mm_malloc: Allocated 0xc02050e0, size 48
[    0.244000] mm_malloc: Allocated 0xc0205110, size 48
[    0.245000] mm_free: Freeing 0xc0204d20
[    0.245000] mm_malloc: Allocated 0xc0204d20, size 112
[    0.246000] mm_malloc: Allocated 0xc0205140, size 80
[    0.246000] mm_malloc: Allocated 0xc0205190, size 48
[    0.247000] mm_malloc: Allocated 0xc02051c0, size 96
[    0.248000] mm_malloc: Allocated 0xc0205220, size 112
[    0.248000] mm_malloc: Allocated 0xc0205290, size 80
[    0.249000] mm_malloc: Allocated 0xc02052e0, size 48
[    0.249000] mm_malloc: Allocated 0xc0205310, size 112
[    0.250000] mm_malloc: Allocated 0xc0205380, size 80
[    0.250000] mm_malloc: Allocated 0xc02053d0, size 48
[    0.250000] mm_free: Freeing 0xc0205310
[    0.251000] mm_malloc: Allocated 0xc0205310, size 64
[    0.251000] mm_free: Freeing 0xc0204b00
[    0.252000] mm_malloc: Allocated 0xc0205400, size 112
[    0.252000] mm_free: Freeing 0xc0204a40
[    0.253000] mm_malloc: Allocated 0xc0205470, size 128
[    0.253000] mm_free: Freeing 0xc0205400
[    0.254000] mm_malloc: Allocated 0xc0205360, size 32
[    0.256000] mm_malloc: Allocated 0xc0205400, size 112
[    0.256000] mm_free: Freeing 0xc0205360
[    0.257000] mm_malloc: Allocated 0xc0204a40, size 112
[    0.258000] mm_malloc: Allocated 0xc02054f0, size 80
